District,Region,Variable_2,Local_Bivariate_I,P_Value,Significant
Krachi East Municipal,Oti,Illiteracy_Rate_pct,0.1832325874431438,0.032,1
Awutu Senya West,Central,Illiteracy_Rate_pct,-0.2159913674729578,0.017,1
Nkwanta South Municipal,Oti,Illiteracy_Rate_pct,0.23902655166085562,0.017,1
Awutu Senya East Municipal,Central,Illiteracy_Rate_pct,-0.19887838181311035,0.029,1
Afigya Kwabre South,Ashanti,Illiteracy_Rate_pct,0.0053602538164607486,0.009,1
La Nkwantanang Madina Municipal,Greater Accra,Illiteracy_Rate_pct,-1.0573233410982799,0.001,1
Atwima Kwanwoma,Ashanti,Illiteracy_Rate_pct,0.005602071649589721,0.014,1
Sekyere South,Ashanti,Illiteracy_Rate_pct,0.003592781030325253,0.044,1
Ga East Municipal,Greater Accra,Illiteracy_Rate_pct,-1.0494744153711713,0.001,1
Ayawaso West Municipal,Greater Accra,Illiteracy_Rate_pct,-0.9375366592322515,0.001,1
Sekyere East,Ashanti,Illiteracy_Rate_pct,0.003842862534883503,0.083,0
Ga South Municipal,Greater Accra,Illiteracy_Rate_pct,-0.7798336284691132,0.003,1
Ga West Municipal,Greater Accra,Illiteracy_Rate_pct,-0.9509402093200834,0.001,1
Sekyere Central,Ashanti,Illiteracy_Rate_pct,-0.0021459716765927614,0.225,0
Ga Central Municipal,Greater Accra,Illiteracy_Rate_pct,-0.9110918171670698,0.001,1
Offinso North,Ashanti,Illiteracy_Rate_pct,0.0007289268089083065,0.371,0
Krachi West Municipal,Oti,Illiteracy_Rate_pct,0.2578141018665356,0.032,1
Offinso Municipal,Ashanti,Illiteracy_Rate_pct,0.0011224014979778739,0.35,0
Obuasi Municipal,Ashanti,Illiteracy_Rate_pct,0.002506397231555594,0.249,0
Krachi Nchumuru,Oti,Illiteracy_Rate_pct,0.2924136931889331,0.004,1
Kwabre East,Ashanti,Illiteracy_Rate_pct,0.00546210473842463,0.013,1
Agortime-Ziope,Volta,Illiteracy_Rate_pct,-0.019693960601525628,0.45,0
Adaklu,Volta,Illiteracy_Rate_pct,-0.0589313097079841,0.372,0
Ejura Sekyedumase Municipal,Ashanti,Illiteracy_Rate_pct,-0.00011081390855481465,0.481,0
Atwima Nwabiagya South Municipal,Ashanti,Illiteracy_Rate_pct,0.004156163469071788,0.037,1
Akatsi South Municipal,Volta,Illiteracy_Rate_pct,0.0319427280761787,0.352,0
Atwima Mponua,Ashanti,Illiteracy_Rate_pct,0.001296631142605251,0.267,0
Akatsi North,Volta,Illiteracy_Rate_pct,0.02079755034851826,0.408,0
Ho Municipal,Volta,Illiteracy_Rate_pct,0.006912187080251009,0.447,0
Adansi South,Ashanti,Illiteracy_Rate_pct,0.00018382129940989166,0.479,0
Hohoe Municipal,Volta,Illiteracy_Rate_pct,-0.08825656458005515,0.257,0
Adansi Asokwa,Ashanti,Illiteracy_Rate_pct,0.002124039706003045,0.223,0
Ho West,Volta,Illiteracy_Rate_pct,0.0,0.001,1
Bosome Freho,Ashanti,Illiteracy_Rate_pct,0.0037770343469761707,0.042,1
Afadzato South,Volta,Illiteracy_Rate_pct,-0.160463088368834,0.075,0
Ahafo Ano South East,Ashanti,Illiteracy_Rate_pct,0.0015736489876194907,0.299,0
North Dayi,Volta,Illiteracy_Rate_pct,-0.14593220062225065,0.144,0
Bekwai Municipal,Ashanti,Illiteracy_Rate_pct,0.003167959585109337,0.111,0
Kpando Municipal,Volta,Illiteracy_Rate_pct,-0.11868843284352516,0.161,0
Bosomtwi,Ashanti,Illiteracy_Rate_pct,0.005709233815950491,0.008,1
North Tongu,Volta,Illiteracy_Rate_pct,0.009323023397227199,0.437,0
Central Tongu,Volta,Illiteracy_Rate_pct,0.007655198928761693,0.455,0
Mampong Municipal,Ashanti,Illiteracy_Rate_pct,0.0009908180215961106,0.423,0
Ajumako Enyan Essiam,Central,Illiteracy_Rate_pct,-0.025522124462893186,0.409,0
Gomoa West,Central,Illiteracy_Rate_pct,-0.09800530159952174,0.165,0
Agona West Municipal,Central,Illiteracy_Rate_pct,-0.0928015838661578,0.248,0
Agona East,Central,Illiteracy_Rate_pct,-0.14877777791441926,0.14,0
Assin North,Central,Illiteracy_Rate_pct,-0.07513529151061095,0.231,0
Assin South,Central,Illiteracy_Rate_pct,-0.07863956725004083,0.217,0
Asikuma Odoben Brakwa,Central,Illiteracy_Rate_pct,-0.08462054915117302,0.206,0
Effutu Municipal,Central,Illiteracy_Rate_pct,-0.21838902982098876,0.041,1
Gomoa East,Central,Illiteracy_Rate_pct,-0.15036524117231895,0.019,1
Abura Asebu Kwamankese,Central,Illiteracy_Rate_pct,-0.11059434632357885,0.15,0
Jomoro Municipal,Western,Illiteracy_Rate_pct,0.1705491529775658,0.342,0
Ellembelle,Western,Illiteracy_Rate_pct,0.17942439857783793,0.349,0
Dormaa Central Municipal,Bono,Illiteracy_Rate_pct,0.0,0.001,1
Dormaa West,Bono,Illiteracy_Rate_pct,0.13084107103430917,0.282,0
Nadowli Kaleo,Upper West,Illiteracy_Rate_pct,-2.218803694494836,0.007,1
Prestea/Huni Valley Municipal,Western,Illiteracy_Rate_pct,0.03650604972981656,0.456,0
Ahanta West Municipal,Western,Illiteracy_Rate_pct,-0.618347223215367,0.075,0
Daffiama Bussie Issa,Upper West,Illiteracy_Rate_pct,-2.0456705094092884,0.006,1
Nzema East Municipal,Western,Illiteracy_Rate_pct,-0.20782677217731654,0.34,0
Lawra Municipal,Upper West,Illiteracy_Rate_pct,-2.2869767968033896,0.014,1
Nandom,Upper West,Illiteracy_Rate_pct,-2.3395587411848746,0.043,1
Tarkwa-Nsuaem Municipal,Western,Illiteracy_Rate_pct,-0.025158080913529998,0.483,0
Talensi,Upper East,Illiteracy_Rate_pct,-1.3273714857845706,0.014,1
Sefwi Akontombra,Western North,Illiteracy_Rate_pct,0.7823279006094275,0.038,1
Effia Kwesimintsim Municipal,Western,Illiteracy_Rate_pct,-0.5616317143612629,0.168,0
Nabdam,Upper East,Illiteracy_Rate_pct,-1.4150417199510454,0.034,1
Builsa South,Upper East,Illiteracy_Rate_pct,-1.6775373834938112,0.015,1
Builsa North Municipal,Upper East,Illiteracy_Rate_pct,-1.3649390332114144,0.103,0
Binduri,Upper East,Illiteracy_Rate_pct,-2.0453458901693677,0.013,1
Pusiga,Upper East,Illiteracy_Rate_pct,-2.0356257922128256,0.042,1
Bawku Municipal,Upper East,Illiteracy_Rate_pct,-2.589141188574464,0.002,1
North Gonja,Savannah,Illiteracy_Rate_pct,-3.2313344358812954,0.001,1
West Gonja,Savannah,Illiteracy_Rate_pct,-3.535942685477673,0.002,1
Mion,Northern,Illiteracy_Rate_pct,-3.1328230629740115,0.001,1
Yendi Municipal,Northern,Illiteracy_Rate_pct,-3.585605892778973,0.003,1
Tolon,Northern,Illiteracy_Rate_pct,-2.1843427413000107,0.011,1
Kumbungu,Northern,Illiteracy_Rate_pct,-2.707751650809819,0.002,1
West Mamprusi Municipal,North East,Illiteracy_Rate_pct,-2.6811269554294723,0.001,1
Mamprugu Moagduri,North East,Illiteracy_Rate_pct,-3.013337950440577,0.001,1
Zabzugu,Northern,Illiteracy_Rate_pct,-3.2255748079010576,0.003,1
Tatale Sanguli,Northern,Illiteracy_Rate_pct,-2.202860488617607,0.173,0
Sene East,Bono East,Illiteracy_Rate_pct,0.3922902872517953,0.003,1
Bibiani Anhwiaso Bekwai Municipal,Western North,Illiteracy_Rate_pct,0.0850240590113052,0.408,0
Sene West,Bono East,Illiteracy_Rate_pct,0.4850562703981987,0.005,1
Upper Denkyira East Municipal,Central,Illiteracy_Rate_pct,0.00028831549459183004,0.479,0
Asutifi North,Ahafo,Illiteracy_Rate_pct,-0.12855616874038173,0.238,0
Ahafo Ano North Municipal,Ashanti,Illiteracy_Rate_pct,0.0004353243429096621,0.485,0
Amansie Central,Ashanti,Illiteracy_Rate_pct,0.0024584398189130916,0.168,0
Amansie West,Ashanti,Illiteracy_Rate_pct,0.002912082575635658,0.149,0
Asutifi South,Ahafo,Illiteracy_Rate_pct,-0.04538275989614623,0.394,0
Techiman Municipal,Bono East,Illiteracy_Rate_pct,0.03798552252191863,0.378,0
Upper Denkyira West,Central,Illiteracy_Rate_pct,-0.0460998639553348,0.343,0
Techiman North,Bono East,Illiteracy_Rate_pct,0.0993706982781768,0.276,0
Cape Cape Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,Central,Illiteracy_Rate_pct,-0.043017155222152145,0.412,0
Komenda Edina Eguafo Abirem Municipal,Central,Illiteracy_Rate_pct,-0.10513241879888852,0.214,0
Banda,Bono,Illiteracy_Rate_pct,0.19624679631378422,0.101,0
Sefwi Wiawso Municipal,Western North,Illiteracy_Rate_pct,0.4142149867304964,0.112,0
Jaman North,Bono,Illiteracy_Rate_pct,0.019378515055840408,0.423,0
Asunafo South,Ahafo,Illiteracy_Rate_pct,0.06112761412281596,0.32,0
Tain,Bono,Illiteracy_Rate_pct,-0.036705757608795464,0.425,0
Nkoranza South Municipal,Bono East,Illiteracy_Rate_pct,0.09332790807215138,0.298,0
Sekyere Kumawu,Ashanti,Illiteracy_Rate_pct,0.0007185386397202719,0.415,0
Bole,Savannah,Illiteracy_Rate_pct,-2.2704546132158754,0.005,1
Sekyere Afram Plains,Ashanti,Illiteracy_Rate_pct,-0.003037969137538611,0.114,0
Asante Akim North Municipal,Ashanti,Illiteracy_Rate_pct,0.0011336280106442405,0.37,0
Asante Akim Central Municipal,Ashanti,Illiteracy_Rate_pct,0.003057152447103641,0.128,0
Kintampo North Municipal,Bono East,Illiteracy_Rate_pct,0.47778099030856813,0.004,1
Asokore Mampong Municipal,Ashanti,Illiteracy_Rate_pct,0.007399771664866338,0.001,1
Atebubu Amantin Municipal,Bono East,Illiteracy_Rate_pct,0.3115435753282119,0.019,1
Kwadaso Municipal,Ashanti,Illiteracy_Rate_pct,0.007501247675461027,0.001,1
Kpandai,Northern,Illiteracy_Rate_pct,-3.0609363854470746,0.002,1
Ejisu Municipal,Ashanti,Illiteracy_Rate_pct,0.004942852492093428,0.017,1
Nkwanta North (Kpassa),Oti,Illiteracy_Rate_pct,0.3359188875183028,0.012,1
Biakoye,Oti,Illiteracy_Rate_pct,0.004957690804121313,0.467,0
Wassa Amenfi East Municipal,Western,Illiteracy_Rate_pct,-0.2594430490138092,0.262,0
Central Gonja,Savannah,Illiteracy_Rate_pct,-2.37145768502027,0.001,1
Tema West Municipal,Greater Accra,Illiteracy_Rate_pct,-0.8528890140829714,0.142,0
Ashaiman Municipal,Greater Accra,Illiteracy_Rate_pct,-0.9538382742039389,0.093,0
Pru East,Bono East,Illiteracy_Rate_pct,0.4888375014974147,0.004,1
Kpone Katamanso Municipal,Greater Accra,Illiteracy_Rate_pct,-0.7721296059861973,0.002,1
Savelugu Municipal,Northern,Illiteracy_Rate_pct,-2.500187699069155,0.006,1
Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,Northern,Illiteracy_Rate_pct,-3.0883217864097174,0.001,1
Sagnarigu Municipal,Northern,Illiteracy_Rate_pct,-2.6011224626171807,0.005,1
Karaga,Northern,Illiteracy_Rate_pct,-3.2595892146522756,0.001,1
North East Gonja,Savannah,Illiteracy_Rate_pct,-2.746182101655663,0.001,1
South Dayi,Volta,Illiteracy_Rate_pct,-0.15338866704524806,0.209,0
Tempane,Upper East,Illiteracy_Rate_pct,-2.1499694899925124,0.012,1
Bolgatanga East,Upper East,Illiteracy_Rate_pct,-1.1700952514461824,0.069,0
Yunyoo Nasuan,North East,Illiteracy_Rate_pct,-2.764913241708033,0.011,1
Nanton,Northern,Illiteracy_Rate_pct,-2.2698895176404563,0.005,1
Assin Central Municipal,Central,Illiteracy_Rate_pct,-0.040593144936230716,0.397,0
Gomoa Central,Central,Illiteracy_Rate_pct,-0.1264347265833175,0.198,0
Pru West,Bono East,Illiteracy_Rate_pct,0.3106090938630652,0.015,1
Berekum West,Bono,Illiteracy_Rate_pct,-0.16954343749095407,0.229,0
Ahafo Ano South West,Ashanti,Illiteracy_Rate_pct,0.00013024021622950606,0.496,0
Amansie South,Ashanti,Illiteracy_Rate_pct,0.001550904364555164,0.314,0
Atwima Nwabiagya North,Ashanti,Illiteracy_Rate_pct,0.004405354559128205,0.067,0
Akrofuom,Ashanti,Illiteracy_Rate_pct,0.0023297983553590166,0.142,0
Adansi North,Ashanti,Illiteracy_Rate_pct,0.003071003339354353,0.113,0
Obuasi East,Ashanti,Illiteracy_Rate_pct,0.002980972539724725,0.199,0
Afigya Kwabre North,Ashanti,Illiteracy_Rate_pct,0.0026398031937598194,0.234,0
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",Ashanti,Illiteracy_Rate_pct,0.0075353646100575185,0.001,1
Oforikrom Municipal,Ashanti,Illiteracy_Rate_pct,0.006592337546082728,0.007,1
Asokwa Municipal,Ashanti,Illiteracy_Rate_pct,0.00796182629251365,0.001,1
Old Tafo Municipal,Ashanti,Illiteracy_Rate_pct,0.006842528399790325,0.005,1
Suame Municipal,Ashanti,Illiteracy_Rate_pct,0.007295525475821505,0.002,1
Juaben Municipal,Ashanti,Illiteracy_Rate_pct,0.005692175348652247,0.023,1
Ablekuma Central Municipal,Greater Accra,Illiteracy_Rate_pct,-0.886538767456627,0.008,1
Korle Klottey Municipal,Greater Accra,Illiteracy_Rate_pct,-0.8463200670128987,0.001,1
Ablekuma North Municipal,Greater Accra,Illiteracy_Rate_pct,-0.9456874667180953,0.001,1
Ayawaso North Municipal,Greater Accra,Illiteracy_Rate_pct,-0.9309435616214802,0.001,1
Ayawaso East Municipal,Greater Accra,Illiteracy_Rate_pct,-0.9812732884377712,0.001,1
Okaikoi North Municipal,Greater Accra,Illiteracy_Rate_pct,-0.9755737608328554,0.001,1
Ga North Municipal,Greater Accra,Illiteracy_Rate_pct,-0.9831409302518114,0.002,1
Weija Gbawe Municipal,Greater Accra,Illiteracy_Rate_pct,-0.9106088063530938,0.001,1
Krowor Municipal,Greater Accra,Illiteracy_Rate_pct,-0.9881320419962293,0.058,0
Tema Metropolitan Area (TMA)-Tema Central & Tema East,Greater Accra,Illiteracy_Rate_pct,-1.1359333510728613,0.011,1
East Gonja Municipal,Savannah,Illiteracy_Rate_pct,-2.700231532767697,0.004,1
Ablekuma West Municipal,Greater Accra,Illiteracy_Rate_pct,-0.8752282642293577,0.001,1
Ayawaso Central Municipal,Greater Accra,Illiteracy_Rate_pct,-0.8016898678015235,0.006,1
"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",Greater Accra,Illiteracy_Rate_pct,-0.9298487371098014,0.006,1
Anloga,Volta,Illiteracy_Rate_pct,-0.020568712139488576,0.489,0
"Sekondi Takoradi Metropolitan Area (STMA)- Takoradi, Sekondi & Essikado-Ketan",Western,Illiteracy_Rate_pct,-0.5623847655031042,0.141,0
Kwahu South Municipal,Eastern,Illiteracy_Rate_pct,-0.22482469746392617,0.337,0
Asene Manso Akroso,Eastern,Illiteracy_Rate_pct,-0.5265760911844451,0.107,0
Upper Manya Krobo,Eastern,Illiteracy_Rate_pct,-0.147358135922767,0.369,0
Achiase,Eastern,Illiteracy_Rate_pct,-0.4892719933816356,0.322,0
Okere,Eastern,Illiteracy_Rate_pct,-1.023277731084842,0.047,1
Yilo Krobo Municipal,Eastern,Illiteracy_Rate_pct,-0.7791746643863086,0.024,1
Atiwa West,Eastern,Illiteracy_Rate_pct,-0.5694688826747814,0.075,0
New Juaben North Municipal,Eastern,Illiteracy_Rate_pct,-0.9006586771382042,0.032,1
Fanteakwa North,Eastern,Illiteracy_Rate_pct,-0.10956956931732342,0.425,0
Birim North,Eastern,Illiteracy_Rate_pct,-0.5702994006221539,0.18,0
Asuogyaman,Eastern,Illiteracy_Rate_pct,0.2508752198422915,0.31,0
Kwahu East,Eastern,Illiteracy_Rate_pct,-0.15171835514647194,0.448,0
Kwahu West Municipal,Eastern,Illiteracy_Rate_pct,-0.4919971303964512,0.217,0
Lower Manya Krobo Municipal,Eastern,Illiteracy_Rate_pct,-0.28833855748922904,0.357,0
Nsawam Adoagyiri Municipal,Eastern,Illiteracy_Rate_pct,-0.3910459436476142,0.306,0
Akwapim South Municipal,Eastern,Illiteracy_Rate_pct,-0.716366744616272,0.133,0
Denkyembuor,Eastern,Illiteracy_Rate_pct,-0.547287132497044,0.104,0
Kwaebibirem Municipal,Eastern,Illiteracy_Rate_pct,-0.518267451219274,0.148,0
Kwahu Afram Plains South,Eastern,Illiteracy_Rate_pct,0.12559158748116728,0.364,0
Kwahu Afram Plains North,Eastern,Illiteracy_Rate_pct,0.18183841546696214,0.346,0
Suhum Municipal,Eastern,Illiteracy_Rate_pct,-0.94048201271471,0.024,1
Ayensuano,Eastern,Illiteracy_Rate_pct,-0.6948381621992286,0.032,1
Abuakwa South Municipal,Eastern,Illiteracy_Rate_pct,-0.7883103618074048,0.037,1
Upper West Akim,Eastern,Illiteracy_Rate_pct,-0.4689243036710122,0.23,0
West Akim Municipal,Eastern,Illiteracy_Rate_pct,-0.36173558108826376,0.232,0
Akyemansa,Eastern,Illiteracy_Rate_pct,-0.7268312707531641,0.073,0
Atiwa East,Eastern,Illiteracy_Rate_pct,-0.5634476275563316,0.078,0
New Juaben South Municipal,Eastern,Illiteracy_Rate_pct,-0.8583645506682654,0.036,1
Birim South,Eastern,Illiteracy_Rate_pct,-0.4632923538403932,0.231,0
Abuakwa North Municipal,Eastern,Illiteracy_Rate_pct,-0.8667943078340951,0.051,0
Akwapim North Municipal,Eastern,Illiteracy_Rate_pct,-0.7694160785046831,0.059,0
Fanteakwa South,Eastern,Illiteracy_Rate_pct,-0.4526772963255398,0.127,0
Birim Central Municipal,Eastern,Illiteracy_Rate_pct,-0.43476925308532277,0.249,0
Adentan Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.278,0
Ledzokuku Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.278,0
Chereponi,North East,Condom_Use_Women_pct,-3.398320599586936,0.026,1
Wa East,Upper West,Condom_Use_Women_pct,-0.28504436988162674,0.317,0
Wa Municipal,Upper West,Condom_Use_Women_pct,0.44539151541862676,0.415,0
Saboba,Northern,Condom_Use_Women_pct,-1.4428688415678954,0.161,0
Jirapa Municipal,Upper West,Condom_Use_Women_pct,0.4453915154186268,0.365,0
Gushegu Municipal,Northern,Condom_Use_Women_pct,-4.050137852259949,0.001,1
Sissala West,Upper West,Condom_Use_Women_pct,0.44539151541862676,0.423,0
Nanumba North Municipal,Northern,Condom_Use_Women_pct,-1.0216946167637946,0.118,0
Lambussie Karni,Upper West,Condom_Use_Women_pct,0.44539151541862676,0.423,0
Bolgatanga Municipal,Upper East,Condom_Use_Women_pct,-4.536772490184031,0.001,1
Nanumba South,Northern,Condom_Use_Women_pct,-0.2846397233566177,0.35,0
Wenchi Municipal,Bono,Condom_Use_Women_pct,-0.14927670884423103,0.153,0
Bongo,Upper East,Condom_Use_Women_pct,-4.536772490184031,0.001,1
Tano South Municipal,Ahafo,Condom_Use_Women_pct,-0.2407166558514103,0.017,1
Kasena Nankana West,Upper East,Condom_Use_Women_pct,-0.0,0.001,1
Wa West,Upper West,Condom_Use_Women_pct,0.489469542979849,0.412,0
Sunyani Municipal,Bono,Condom_Use_Women_pct,-0.20448573345233922,0.066,0
Sawla Tuna Kalba,Savannah,Condom_Use_Women_pct,0.5877925994518772,0.312,0
Asante Akim South Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.008,1
Sissala East Municipal,Upper West,Condom_Use_Women_pct,-1.7831935580767675,0.029,1
Ada East,Greater Accra,Condom_Use_Women_pct,0.43692276817129905,0.17,0
Shai-Osudoku,Greater Accra,Condom_Use_Women_pct,-0.015749790809509924,0.405,0
Kasena Nankana Municipal,Upper East,Condom_Use_Women_pct,-4.50007939040859,0.001,1
Ada West,Greater Accra,Condom_Use_Women_pct,0.1472123304235813,0.285,0
Bunkpurugu Nakpanduri,North East,Condom_Use_Women_pct,-4.6167174641988,0.001,1
Garu,Upper East,Condom_Use_Women_pct,-4.475617323891629,0.001,1
Ningo-Prampram,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.288,0
East Mamprusi Municipal,North East,Condom_Use_Women_pct,-4.460657371972281,0.001,1
La Dade-Kotopon Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.257,0
Bawku West,Upper East,Condom_Use_Women_pct,-4.50007939040859,0.001,1
Aowin Municipal,Western North,Condom_Use_Women_pct,-0.3467787058186028,0.302,0
Dormaa East,Bono,Condom_Use_Women_pct,-0.20448573345233922,0.044,1
Suaman,Western North,Condom_Use_Women_pct,-0.1978729031549584,0.433,0
Berekum East Municipal,Bono,Condom_Use_Women_pct,-0.20448573345233922,0.026,1
Bia East,Western North,Condom_Use_Women_pct,-0.37469854381803597,0.267,0
Jaman South,Bono,Condom_Use_Women_pct,-0.2044857334523392,0.087,0
Bia West,Western North,Condom_Use_Women_pct,-0.1978729031549584,0.414,0
Sunyani West Municipal,Bono,Condom_Use_Women_pct,-0.19672196436682401,0.02,1
Asunafo North Municipal,Ahafo,Condom_Use_Women_pct,-0.16077858897092026,0.119,0
Bodi,Western North,Condom_Use_Women_pct,-0.1978729031549584,0.433,0
Juaboso,Western North,Condom_Use_Women_pct,-0.29891612639100273,0.245,0
Nkoranza North,Bono East,Condom_Use_Women_pct,-0.11674281934302443,0.233,0
Kintampo South,Bono East,Condom_Use_Women_pct,-0.12955920005562097,0.195,0
Shama,Western,Condom_Use_Women_pct,-0.3886584628177527,0.25,0
Tano North Municipal,Ahafo,Condom_Use_Women_pct,-0.21828798960436627,0.011,1
Wassa East,Western,Condom_Use_Women_pct,-0.31221128734311376,0.233,0
Ketu North Municipal,Volta,Condom_Use_Women_pct,0.2615296070958011,0.028,1
Mpohor,Western,Condom_Use_Women_pct,-0.49568450848224715,0.058,0
Wassa Amenfi West Municipal,Western,Condom_Use_Women_pct,-0.3467787058186027,0.219,0
Ketu South Municipal,Volta,Condom_Use_Women_pct,0.2615296070958011,0.123,0
Wassa Amenfi Central,Western,Condom_Use_Women_pct,-0.41059547838873606,0.128,0
Keta Municipal,Volta,Condom_Use_Women_pct,0.2615296070958011,0.027,1
Kadjebi,Oti,Condom_Use_Women_pct,-0.27183930198533796,0.001,1
Mfantsiman Municipal,Central,Condom_Use_Women_pct,-0.01655161900633119,0.452,0
South Tongu,Volta,Condom_Use_Women_pct,0.15993552917558415,0.056,0
Ekumfi,Central,Condom_Use_Women_pct,-0.01655161900633119,0.457,0
Twifo Heman Lower Denkyira,Central,Condom_Use_Women_pct,-0.03402666873406082,0.429,0
Jasikan Municipal,Oti,Condom_Use_Women_pct,-0.09404966562495826,0.296,0
Twifo Ati Morkwa,Central,Condom_Use_Women_pct,-0.05587048089372288,0.302,0
Krachi East Municipal,Oti,Condom_Use_Women_pct,-0.2368892025298787,0.001,1
Awutu Senya West,Central,Condom_Use_Women_pct,-0.03592613066098797,0.459,0
Nkwanta South Municipal,Oti,Condom_Use_Women_pct,-0.1824886129426856,0.002,1
Awutu Senya East Municipal,Central,Condom_Use_Women_pct,-0.03592613066098797,0.457,0
Afigya Kwabre South,Ashanti,Condom_Use_Women_pct,0.0046202491119873715,0.002,1
La Nkwantanang Madina Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.247,0
Atwima Kwanwoma,Ashanti,Condom_Use_Women_pct,0.004620249111987373,0.005,1
Sekyere South,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.002,1
Ga East Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.246,0
Ayawaso West Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.127,0
Sekyere East,Ashanti,Condom_Use_Women_pct,0.004620249111987373,0.005,1
Ga South Municipal,Greater Accra,Condom_Use_Women_pct,-0.2281576838697356,0.34,0
Ga West Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.247,0
Sekyere Central,Ashanti,Condom_Use_Women_pct,0.004040049832489589,0.02,1
Ga Central Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.246,0
Offinso North,Ashanti,Condom_Use_Women_pct,0.003563908032466949,0.018,1
Krachi West Municipal,Oti,Condom_Use_Women_pct,-0.20193910307441942,0.006,1
Offinso Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.002,1
Obuasi Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.014,1
Krachi Nchumuru,Oti,Condom_Use_Women_pct,-0.13051933462195922,0.03,1
Kwabre East,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.002,1
Agortime-Ziope,Volta,Condom_Use_Women_pct,0.2615296070958011,0.028,1
Adaklu,Volta,Condom_Use_Women_pct,0.2615296070958011,0.052,0
Ejura Sekyedumase Municipal,Ashanti,Condom_Use_Women_pct,0.003653250312824398,0.009,1
Atwima Nwabiagya South Municipal,Ashanti,Condom_Use_Women_pct,0.0046202491119873715,0.002,1
Akatsi South Municipal,Volta,Condom_Use_Women_pct,0.2615296070958011,0.014,1
Atwima Mponua,Ashanti,Condom_Use_Women_pct,0.003695293738874962,0.008,1
Akatsi North,Volta,Condom_Use_Women_pct,0.2615296070958011,0.048,1
Ho Municipal,Volta,Condom_Use_Women_pct,0.2615296070958011,0.12,0
Adansi South,Ashanti,Condom_Use_Women_pct,0.0035796743172359113,0.077,0
Hohoe Municipal,Volta,Condom_Use_Women_pct,-0.005154847444768417,0.426,0
Adansi Asokwa,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.003,1
Ho West,Volta,Condom_Use_Women_pct,0.0,0.001,1
Bosome Freho,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.003,1
Afadzato South,Volta,Condom_Use_Women_pct,0.2615296070958011,0.027,1
Ahafo Ano South East,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.004,1
North Dayi,Volta,Condom_Use_Women_pct,0.2615296070958011,0.05,0
Bekwai Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.004,1
Kpando Municipal,Volta,Condom_Use_Women_pct,0.12818737982551637,0.128,0
Bosomtwi,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.003,1
North Tongu,Volta,Condom_Use_Women_pct,0.0837399707354214,0.24,0
Central Tongu,Volta,Condom_Use_Women_pct,0.2615296070958011,0.028,1
Mampong Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.011,1
Ajumako Enyan Essiam,Central,Condom_Use_Women_pct,-0.016551619006331193,0.492,0
Gomoa West,Central,Condom_Use_Women_pct,-0.016551619006331193,0.492,0
Agona West Municipal,Central,Condom_Use_Women_pct,-0.016551619006331193,0.468,0
Agona East,Central,Condom_Use_Women_pct,-0.01655161900633119,0.448,0
Assin North,Central,Condom_Use_Women_pct,-0.06669741387720753,0.286,0
Assin South,Central,Condom_Use_Women_pct,-0.016551619006331193,0.492,0
Asikuma Odoben Brakwa,Central,Condom_Use_Women_pct,-0.016551619006331193,0.492,0
Effutu Municipal,Central,Condom_Use_Women_pct,-0.01655161900633119,0.448,0
Gomoa East,Central,Condom_Use_Women_pct,-0.02623887483365958,0.448,0
Abura Asebu Kwamankese,Central,Condom_Use_Women_pct,-0.016551619006331193,0.477,0
Jomoro Municipal,Western,Condom_Use_Women_pct,-0.3964139733731509,0.288,0
Ellembelle,Western,Condom_Use_Women_pct,-0.49568450848224715,0.103,0
Dormaa Central Municipal,Bono,Condom_Use_Women_pct,0.0,0.001,1
Dormaa West,Bono,Condom_Use_Women_pct,-0.13892501673021077,0.336,0
Nadowli Kaleo,Upper West,Condom_Use_Women_pct,0.44539151541862676,0.403,0
